Account,ATMID,caldate,Actual,Forecast
0,0,2023-02-15,635500,634504.56
0,0,2023-02-16,279500,279806.0
0,0,2023-02-17,572500,572032.4
0,0,2023-02-18,270500,271450.03
0,0,2023-02-19,337500,337691.22
0,0,2023-02-20,399500,399054.4
0,0,2023-02-21,298000,298839.62
0,0,2023-02-22,280500,279820.03
0,1,2023-02-15,550000,547022.44
0,1,2023-02-16,933500,929665.06
0,1,2023-02-17,306500,307241.53
0,1,2023-02-18,166500,165655.02
0,1,2023-02-19,270500,271300.53
0,1,2023-02-20,359000,356096.78
0,1,2023-02-21,553500,553409.8
0,1,2023-02-22,898500,895699.0
0,2,2023-02-15,418300,417277.12
0,2,2023-02-16,520500,520962.16
0,2,2023-02-17,606500,607868.3
0,2,2023-02-18,513100,513033.3
0,2,2023-02-19,464600,465132.84
0,2,2023-02-20,401800,402504.2
0,2,2023-02-21,250900,251451.73
0,2,2023-02-22,650400,650804.5
0,3,2023-02-15,143000,145027.75
0,3,2023-02-16,161500,162495.8
0,3,2023-02-17,110100,110262.57
0,3,2023-02-18,26800,27755.262
0,3,2023-02-19,29300,28063.885
0,3,2023-02-20,139900,139897.28
0,3,2023-02-21,113900,113908.5
0,3,2023-02-22,48000,48078.934
0,4,2023-02-15,178000,177060.83
0,4,2023-02-16,71500,69204.99
0,4,2023-02-17,49000,48676.58
0,4,2023-02-18,75000,75052.414
0,4,2023-02-19,4500,4955.9385
0,4,2023-02-20,142000,139967.31
0,4,2023-02-21,117000,118644.82
0,4,2023-02-22,95000,95326.06
0,10,2023-02-17,74000,75059.25
0,10,2023-02-18,363000,362047.9
0,10,2023-02-19,316000,314481.4
0,10,2023-02-20,58500,57164.58
0,10,2023-02-21,0,-15.746503
0,10,2023-02-22,176000,177003.72
0,20,2023-02-15,718100,717171.56
0,20,2023-02-16,645200,644478.6
0,20,2023-02-17,441900,440484.9
0,20,2023-02-18,406500,407103.72
0,20,2023-02-19,514900,513278.5
0,20,2023-02-20,634300,634370.9
0,20,2023-02-21,650500,648642.44
0,20,2023-02-22,528700,527136.06
1,5,2023-02-15,199500,200406.28
1,5,2023-02-16,43000,43314.98
1,5,2023-02-17,20000,21108.84
1,5,2023-02-18,104500,103314.47
1,5,2023-02-19,97000,96486.23
1,5,2023-02-20,83000,84254.39
1,5,2023-02-21,119000,117189.26
1,5,2023-02-22,0,81.157974
1,6,2023-02-15,120700,121359.56
1,6,2023-02-16,232500,233004.05
1,6,2023-02-17,301000,301553.12
1,6,2023-02-18,51000,52452.543
1,6,2023-02-19,10000,10638.939
1,6,2023-02-20,285600,285806.5
1,6,2023-02-21,186600,188592.97
1,6,2023-02-22,0,96.39067
1,7,2023-02-15,537200,537546.06
1,7,2023-02-16,444600,444082.2
1,7,2023-02-17,435600,436951.4
1,7,2023-02-18,494600,491989.16
